time,open,high,low,close,Volume,Volume MA,MA
173453400,95.190002,96.580002,87.68,88.75,441680000,350465000,79.55800020000014
176131800,88.75,89.040001,82.209999,86.879997,281470000,345319500,84.07600100000013
178810200,86.879997,87.419998,81.57,83.870003,275120000,340918000,87.71800080000013
181402200,83.870003,91.75,82.57,89.040001,365540000,346354500,89.15000160000014
184257000,89.040001,92.330002,87.629997,91.239998,318810000,346815000,89.85400080000014
186676200,91.239998,91.900002,86.150002,90.190002,348970000,351550000,89.16800080000013
189354600,90.190002,101.989998,89.809998,100.860001,635830000,369584000,88.74600060000013
192119400,100.860001,103.07,98.5,99.709999,596130000,387123500,87.95599980000013
194538600,99.709999,104.389999,98.230003,102.769997,529600000,399899000,88.24400020000013
197217000,102.769997,104.629997,99.57,101.639999,392260000,405507000,91.04000100000013
199978200,101.639999,103.989998,98.260002,100.18,355910000,409300000,94.20800020000013
202483800,100.18,105.07,97.970001,104.279999,417230000,411306500,96.95399940000013
205075800,104.279999,106.779999,102.309998,103.440002,393760000,416655000,99.03399960000012
207840600,103.440002,105.410004,100.43,102.910004,346680000,418231500,101.03199920000012
210432600,102.910004,108.720001,102.599998,105.239998,414750000,417341500,101.71599880000012
213024600,105.239998,105.75,99.209999,102.900002,361390000,414229000,102.46199940000012
215706600,102.900002,103.779999,98.18,102.099998,381020000,410599500,102.49000080000012
218298600,102.099998,107.82,101.620003,107.459999,534550000,414759500,103.21000060000013
221149800,107.459999,107.970001,100.910004,102.029999,501620000,416966000,103.75400100000013
223655400,102.029999,103.32,98.82,99.82,398440000,414538000,103.31800080000014
226074600,99.82,102.699997,97.800003,98.419998,434690000,414188500,104.12200020000014
228753000,98.419998,102.07,96.529999,98.440002,403060000,420268000,103.94599920000014
231427800,98.440002,100.93,95.519997,96.120003,425820000,427803000,102.86199960000013
234019800,96.120003,101.650002,95.889999,100.480003,485150000,433783500,101.96599880000014
236611800,100.480003,102.57,97.709999,98.849998,452480000,440467000,101.23399960000015
239290200,98.849998,99.839996,95.040001,96.769997,433650000,444701000,98.96600040000014
241968600,96.769997,98.43,94.440002,96.529999,383670000,432093000,98.65600120000015
244733400,96.529999,97.269997,90.199997,92.339996,413470000,422960000,98.46200080000014
247242600,92.190002,97.110001,90.010002,94.830002,494680000,421214000,98.13200060000014
249834600,94.830002,95.669998,91.760002,95.099998,450970000,424149500,97.75000000000014
252599400,95.099998,95.150002,88.019997,89.25,428140000,427761000,96.99399860000014
255191400,89.25,91.32,86.580002,87.040001,368600000,425329500,95.86399840000013
257610600,87.040001,91.349998,86.449997,89.209999,497580000,430520500,95.11399840000013
260461800,89.199997,97.910004,88.07,96.830002,695600000,447966500,93.60999900000013
262877400,96.830002,100.32,94.57,97.239998,775750000,466016500,91.71199940000014
265555800,97.239998,101.839996,93.989998,95.529999,666290000,481261500,91.08600000000014
268320600,95.529999,101.18,93.589996,100.68,541490000,489285000,91.48600000000013
270826200,100.68,106.269997,99.949997,103.290001,864950000,505805000,91.91400000000014
273504600,103.290001,108.050003,100.660004,102.540001,672290000,514338500,93.16999980000014
276183000,102.540001,106.230003,91.650002,93.150002,682340000,528533500,95.89799960000013
278778600,94.129997,97.410004,91.769997,94.699997,514610000,532529500,98.71400000000014
281370600,95.010002,98.580002,92.639999,96.110001,492440000,536998500,99.85599980000015
284049000,96.110001,102.589996,95.220001,99.93,615730000,546494000,99.03800060000015
286727400,99.93,100.519997,95.379997,96.279999,475710000,546022000,98.87200020000014
289146600,96.279999,103.309998,95.980003,101.589996,649800000,555888000,97.95800040000015
291911400,101.559998,103.949997,100.139999,101.760002,620650000,565238000,97.28600020000015
294413400,101.760002,102.57,97.489998,99.080002,623740000,577241500,96.03399980000015
297091800,99.080002,103.669998,98.57,102.910004,735710000,593353500,97.72199860000015
299770200,102.910004,105.169998,100.349998,103.809998,680740000,602656500,99.13399960000015
